Lonely...
Hurt...
Disappointed...
SCARED
Anxious...
Powerless...
Overwhelmed...
ANGRY
Bored...
Jealous...
Annoyed...
EMBARRASSED
Ashamed...
Excluded...

Guilty sounding tweet
Toxic sounding tweet
PLAYFUL
Affectionate sounding tweet
Odd sounding tweet
Creative sounding tweet
CONFIDENT
Powerful sounding
Hopeful sounding
Brave sounding message
LOVED
Accepted sounding
Valued sounding
Respected sounding
HAPPY
Caring sounding
Grateful sounding
Excited sounding 
